instance,config,seed,total_iterations,total_time,best_cost,time_best_sol,iterations_best_sol
scqbf_025_1,DEFAULT,0,34535,1800.0239126682281,1316.0,0.886,14
scqbf_025_2,DEFAULT,0,33356,1800.040390253067,1279.0,0.367,5
scqbf_050_1,DEFAULT,0,10159,1800.151504278183,5257.0,21.861,121
scqbf_050_2,DEFAULT,0,9804,1800.0130310058594,5161.0,3.244,16
scqbf_100_1,DEFAULT,0,2722,1800.1897761821747,16665.0,417.79,630
scqbf_100_2,DEFAULT,0,2685,1800.2016913890839,20383.0,35.271,51
scqbf_100_3,DEFAULT,0,2738,1800.4361770153046,20471.0,176.949,267
scqbf_100_4,DEFAULT,0,2711,1800.5391640663147,21470.0,236.68,355
scqbf_200_1,DEFAULT,0,710,1801.721321105957,47364.0,1665.026,655
scqbf_200_2,DEFAULT,0,683,1800.9232795238495,80463.0,412.978,155
scqbf_200_3,DEFAULT,0,708,1801.5148286819458,49043.0,1669.759,655
scqbf_200_4,DEFAULT,0,703,1801.9027516841888,48868.0,442.529,171
scqbf_400_1,DEFAULT,0,177,1805.7663567066193,98456.0,709.219,68
scqbf_400_2,DEFAULT,0,171,1809.3836724758148,223678.0,748.344,69
scqbf_400_3,DEFAULT,0,177,1809.5977113246918,100488.0,660.145,63
scqbf_025_1,GRASP_RANDOM_GREEDY,1,316212,1800.0030989646912,1316.0,0.025095462799072266,4
scqbf_025_2,GRASP_RANDOM_GREEDY,1,410926,1800.0039594173431,1279.0,0.004778861999511719,1
scqbf_050_1,GRASP_RANDOM_GREEDY,1,34601,1800.0382452011108,5257.0,0.4392580986022949,9
scqbf_050_2,GRASP_RANDOM_GREEDY,1,65300,1800.0066170692444,5161.0,0.02773571014404297,1
scqbf_100_1,GRASP_RANDOM_GREEDY,1,3603,1800.341804265976,16665.0,0.9919769763946533,2
scqbf_100_2,GRASP_RANDOM_GREEDY,1,8892,1800.1671946048737,20383.0,0.2041473388671875,1
scqbf_100_3,GRASP_RANDOM_GREEDY,1,4212,1800.248399734497,20471.0,3.090555429458618,7
scqbf_100_4,GRASP_RANDOM_GREEDY,1,4056,1800.0442934036255,21470.0,0.42382311820983887,1
scqbf_200_1,GRASP_RANDOM_GREEDY,1,374,1801.212417125702,48906.0,8.635228395462036,2
scqbf_200_2,GRASP_RANDOM_GREEDY,1,1128,1800.1392076015472,80463.0,1.5868675708770752,1
scqbf_200_3,GRASP_RANDOM_GREEDY,1,377,1801.7249319553375,50470.0,19.541456937789917,4
scqbf_200_4,GRASP_RANDOM_GREEDY,1,399,1803.3670315742493,49891.0,44.74477982521057,10
scqbf_400_1,GRASP_RANDOM_GREEDY,1,30,1841.9472048282623,141264.0,1228.7311849594116,20
scqbf_400_2,GRASP_RANDOM_GREEDY,1,157,1803.6408596038818,321752.0,11.512499570846558,1
scqbf_400_3,GRASP_RANDOM_GREEDY,1,30,1824.0196566581726,140016.0,1231.4140360355377,20
scqbf_025_1,BEST_PROBABILISTIC,1,919250,1800.0103945732117,1316.0,0.025170087814331055,8
scqbf_025_2,BEST_PROBABILISTIC,1,1628299,1800.006210565567,1279.0,0.0008840560913085938,2
scqbf_050_1,BEST_PROBABILISTIC,1,212036,1800.0314474105835,5257.0,0.32975053787231445,42
scqbf_050_2,BEST_PROBABILISTIC,1,412430,1800.0246889591217,5161.0,0.0021817684173583984,2
scqbf_100_1,BEST_PROBABILISTIC,1,45227,1800.134551525116,16665.0,12.222492456436157,308
scqbf_100_2,BEST_PROBABILISTIC,1,86351,1800.115916967392,20383.0,0.005751371383666992,2
scqbf_100_3,BEST_PROBABILISTIC,1,46768,1800.092875957489,20471.0,5.222538948059082,135
scqbf_100_4,BEST_PROBABILISTIC,1,47708,1800.1107668876648,21470.0,0.35558295249938965,10
scqbf_200_1,BEST_PROBABILISTIC,1,7867,1800.4898183345795,48639.0,5.98000693321228,26
scqbf_200_2,BEST_PROBABILISTIC,1,15394,1800.7034595012665,80463.0,0.01809215545654297,2
scqbf_200_3,BEST_PROBABILISTIC,1,7980,1800.6050653457642,50226.0,4.090947866439819,18
scqbf_200_4,BEST_PROBABILISTIC,1,7928,1800.6926665306091,49891.0,5.423654794692993,24
scqbf_400_1,BEST_PROBABILISTIC,1,1269,1803.703221321106,140209.0,50.48380780220032,35
scqbf_400_2,BEST_PROBABILISTIC,1,2446,1804.6313095092773,321752.0,0.0582578182220459,2
scqbf_400_3,BEST_PROBABILISTIC,1,1267,1804.0163354873657,139225.0,121.0530595779419,84
